Date,Price,Open,High,Low,Vol.,Change %
27-Jun-14,"15,095.00",15290.75,"15,293.82","15,027.31",130.96K,-1.39%
26-Jun-14,"15,308.49",15320.13,"15,345.12","15,278.22",105.42K,0.27%
25-Jun-14,"15,266.61",15297.24,"15,347.88","15,265.71",108.40K,-0.71%
24-Jun-14,"15,376.24",15300.5,"15,424.57","15,252.27",122.75K,0.05%
23-Jun-14,"15,369.28",15419.47,"15,442.67","15,335.88",119.97K,0.13%
20-Jun-14,"15,349.42",15359.6,"15,422.06","15,305.43",190.02K,-0.08%
19-Jun-14,"15,361.16",15140.35,"15,375.38","15,138.28",189.91K,1.62%
18-Jun-14,"15,115.80",15009.89,"15,139.99","14,995.45",118.60K,0.93%
17-Jun-14,"14,975.97",14962.99,"15,026.96","14,948.54",107.41K,0.29%
16-Jun-14,"14,933.29",15049.61,"15,056.75","14,867.15",115.96K,-1.09%
13-Jun-14,"15,097.84",14830.99,"15,121.64","14,830.99",172.23K,0.83%
12-Jun-14,"14,973.53",14942.15,"14,992.96","14,862.08",132.42K,-0.64%
11-Jun-14,"15,069.48",15000.13,"15,075.72","14,998.63",99.51K,0.50%
10-Jun-14,"14,994.80",15130.74,"15,184.77","14,966.80",121.34K,-0.85%
9-Jun-14,"15,124.00",15204.31,"15,206.57","15,116.03",107.32K,0.31%
6-Jun-14,"15,077.24",15138.75,"15,144.34","15,042.59",134.78K,-0.01%
5-Jun-14,"15,079.37",15112.59,"15,141.14","15,016.81",127.87K,0.08%
4-Jun-14,"15,067.96",15067.41,"15,071.78","14,985.21",131.97K,0.22%
3-Jun-14,"15,034.25",15089.04,"15,091.49","15,026.01",145.94K,0.66%
2-Jun-14,"14,935.92",14777.51,"14,963.91","14,777.51",130.61K,2.07%
30-May-14,"14,632.38",14707.66,"14,741.10","14,591.62",175.33K,-0.34%
29-May-14,"14,681.72",14585.64,"14,714.95","14,574.02",122.00K,0.07%
28-May-14,"14,670.95",14646.93,"14,717.29","14,608.54",120.15K,0.24%
27-May-14,"14,636.52",14589.79,"14,744.16","14,588.68",129.37K,0.23%
26-May-14,"14,602.52",14592.6,"14,602.52","14,531.32",106.87K,0.97%
23-May-14,"14,462.17",14411.1,"14,528.04","14,404.80",142.39K,0.87%
22-May-14,"14,337.79",14188.28,"14,369.02","14,147.55",160.31K,2.11%
21-May-14,"14,042.17",13969.71,"14,054.24","13,964.43",121.69K,-0.24%
20-May-14,"14,075.25",14088.45,"14,144.04","14,038.06",123.11K,0.49%
19-May-14,"14,006.44",14130.09,"14,150.50","13,991.80",114.01K,-0.64%
16-May-14,"14,096.59",14087.76,"14,108.44","14,016.49",131.33K,-1.41%
15-May-14,"14,298.21",14280.51,"14,306.36","14,190.27",132.57K,-0.75%
14-May-14,"14,405.76",14385.6,"14,419.65","14,349.87",112.72K,-0.14%
13-May-14,"14,425.44",14367.94,"14,464.01","14,359.74",129.93K,1.95%
12-May-14,"14,149.52",14173.49,"14,234.49","14,130.30",109.25K,-0.35%
9-May-14,"14,199.59",14101.98,"14,266.29","14,091.20",125.33K,0.25%
8-May-14,"14,163.78",14136.41,"14,254.44","14,108.16",122.97K,0.93%
7-May-14,"14,033.45",14296.25,"14,299.13","14,033.45",143.17K,-2.93%
2-May-14,"14,457.51",14454.44,"14,473.75","14,405.77",108.55K,-0.19%
1-May-14,"14,485.13",14341.09,"14,493.03","14,341.09",129.17K,1.27%
30-Apr-14,"14,304.11",14393.51,"14,421.22","14,275.69",125.06K,0.11%
28-Apr-14,"14,288.23",14289.82,"14,324.03","14,224.47",97.36K,-0.98%
25-Apr-14,"14,429.26",14369.72,"14,554.32","14,327.60",115.02K,0.17%
24-Apr-14,"14,404.99",14563.25,"14,563.25","14,367.13",106.25K,-0.97%
23-Apr-14,"14,546.27",14480.41,"14,546.27","14,459.29",103.15K,1.09%
22-Apr-14,"14,388.77",14586.29,"14,604.30","14,388.77",99.30K,-0.85%
21-Apr-14,"14,512.38",14549.45,"14,649.50","14,503.17",95.30K,-0.03%
18-Apr-14,"14,516.27",14489.37,"14,536.67","14,442.74",78.18K,0.68%
17-Apr-14,"14,417.53",14395.95,"14,500.66","14,351.85",127.89K,0.00%
16-Apr-14,"14,417.68",14126.87,"14,420.30","14,125.59",143.62K,3.01%
15-Apr-14,"13,996.81",14068.75,"14,096.86","13,969.17",120.83K,0.62%
14-Apr-14,"13,910.16",13887.23,"14,008.29","13,885.22",121.01K,-0.36%
11-Apr-14,"13,960.05",14027.8,"14,065.97","13,885.11",174.67K,-2.38%
10-Apr-14,"14,300.12",14484.54,"14,513.14","14,234.45",128.87K,0.00%
9-Apr-14,"14,299.69",14436.05,"14,502.02","14,279.34",162.51K,-2.10%
